nm_Kit_ID,Easting,Northing,nm_Sampling_Date,fht_eDNA_survey_date,datecomp,fht_Site_comb,nm_Pond_Name,namedist,fht_Site_number,fht_Site_Name,Company,Sampler_Name,Sampling_DateTime,Arrival_Date,num_tubes,Damaged_tubes,Liquid_in_bag,Tubes_labelled,Tubes_filled,Additional_notes,Lab_work_Started,IPC_Positive_out_of_12,GCN_Positive_out_of_12,GCN_Status,GCN_Square,Site_number_CHECK,Surveyor,1_km_square,Grid_reference,eDNA_score,GCN_test_result,Positive_no_kit,Kit_negative,Newt_Positive_sites,Newt_Negative_sites,HSI1_Pond_location,HSI2_Pond_area,HSI3_Pond_drying,HSI4_Water_quality,HSI5_Shade,HSI6_Waterfowl,HSI7_Fish,HSI8_Pond_count,HSI9_Terrestrial_habitat,HSI10_Macrophytes,DIMITRIOS_HSI,NO_HSI_REASON,SITE_FROM_DIMITRIOS,Inflow_present,Outflow_present,Nitrate,Phosphate,Clean,N,P
FHT577,506000,244090,2017-05-18 00:00,2017-05-18 00:00,MATCH,482 161 Bedford Raod Old Farm Pond (TL 0600 4409),161 Bedford Raod Old Farm Pond (TL 0600 4409),0.171655329,482,161 Bedford Raod Old Farm Pond (TL 0600 4409),Freshwater Habitats Trust,HJ,2017-05-18 15:30,2017-06-01 00:00,6,No,No,Yes,Yes,NA,2017-06-01 00:00,10,0,Negative,positive,482,Hanna,TL0644,TL06004409,0,Negative,FALSE,TRUE,Negative,NA,1,99,2,2,0,3,4,19,4,90,0.754012672,NA,482,N,N,<0.2,0.5-1,1,0.1,0.75
FHT869,470843,189782,2017-06-10 00:00,2017-06-10 00:00,MATCH,954 Russels Water,Russels Water,0.168174962,954,Russels Water,Freshwater Habitats Trust,Jeremy,2017-06-10 11:30,2017-06-26 00:00,6,No,No,Yes,Yes,NA,2017-06-27 00:00,12,0,Negative,negative,954,Jeremy,SU7089,SU7084389782,0,Negative,FALSE,TRUE,NA,Negative,1,625,2,2,70,1,1,9,4,5,0.313738053,NA,954,N,N,<0.2,0.02-0.05,2,0.1,0.035
FHT424,468384,226778,2017-05-29 00:00,2017-05-29 00:00,MATCH,506 BRIARHILL.2,506 Briarhill.2 (SP6838426778),0.166666667,506,BRIARHILL.2,Freshwater Habitats Trust,AH,2017-05-29 10:30,2017-06-01 00:00,6,No,No,Yes,Yes,NA,2017-06-01 00:00,12,0,Negative,positive,506,Adrianna,SP6826,SP6838426778,0,Negative,FALSE,TRUE,Negative,NA,1,250,3,3,100,3,3,2,3,1,0.548867904,NA,506,N,N,<0.2,0.02-0.05,2,0.1,0.035
FHT443,472160,231114,2017-05-29 00:00,2017-05-29 00:00,MATCH,384 COLLEGE BARN,384 College Barn (SP72160 31114),0.166666667,384,COLLEGE BARN,Freshwater Habitats Trust,AH,2017-05-29 13:00,2017-06-01 00:00,6,No,No,Yes,Yes,NA,2017-06-05 00:00,12,0,Negative,negative,384,Adrianna,SP7231,SP7216031114,0,Negative,FALSE,TRUE,NA,Negative,1,700,1,3,85,1,4,1,4,10,0.452737904,NA,384,N,N,<0.2,0.2-0.5,1,0.1,0.35
FHT579,494650,252570,2017-05-17 00:00,2017-05-17 00:00,MATCH,45 Turvey Pond,45 Turvey Pond (SP9465 5257),0.166666667,45,Turvey Pond,Freshwater Habitats Trust,HJ,2017-05-17 14:30,2017-06-01 00:00,6,No,No,Yes,Yes,NA,2017-06-01 00:00,12,2,Positive,positive,45,Hanna,SP9452,SP94655257,2,Positive,FALSE,FALSE,Positive,NA,1,45,4,3,15,3,4,1,3,95,0.50800616,NA,45,N,N,<0.2,0.05-0.1,1,0.1,0.075
FHT1096,509607,261559,2017-06-11 00:00,2017-06-11 00:00,MATCH,858 858 - Little Stoughton W.,858 - Little Stoughton W.,0.165977011,858,858 - Little Stoughton W.,Freshwater Habitats Trust,PJW,2017-06-11 17:40,2017-06-26 00:00,6,No,No,Yes,Yes,"all tubes missing a few mls, topped up with HPLC water at SR",2017-06-28 00:00,12,5,Positive,negative,858,PJW,TL0961,TL0960761559,5,Positive,FALSE,FALSE,NA,Positive,1,170,3,3,98,3,4,9,3,0.5,0.609456925,NA,858,N,N,0.2-0.5,0.2-0.5,1,0.35,0.35
FHT706,447736,201203,2017-05-14 00:00,2017-05-14 00:00,MATCH,154 154 Wotton Kirtland (SP 47736 01203),154 Wotton Kivtland (SP 47736 01203),0.16521164,154,154 Wotton Kirtland (SP 47736 01203),Freshwater Habitats Trust,Jeremy,NA,2017-05-23 00:00,6,No,No,Yes,Yes,NA,2017-05-24 00:00,12,10,Positive,positive,154,Jeremy,SP4701,SP4773601203,10,Positive,FALSE,FALSE,Positive,NA,1,100,3,2,50,3,4,5,3,25,0.640129002,NA,154,N,N,<0.2,0.05-0.1,1,0.1,0.075
FHT403,469850,227647,2017-05-23 00:00,2017-05-23 00:00,MATCH,168 NORTH END ROAD,168 North End Road (SP 69850 27647),0.161904762,168,NORTH END ROAD,Freshwater Habitats Trust,AH,2017-05-23 16:30,2017-06-01 00:00,6,No,No,Yes,Yes,NA,2017-06-01 00:00,12,1,Positive,positive,168,Adrianna,SP6927,SP6985027647,1,Positive,FALSE,FALSE,Positive,NA,1,55,3,4,75,3,4,1,4,0,0.562122612,NA,168,N,N,<0.2,0.1-0.2,1,0.1,0.15
FHT435,469579,225649,2017-05-23 00:00,2017-05-23 00:00,MATCH,363 ROSEHILL FARM,363 Rosehill Farm (SP69579 25649),0.161616162,363,ROSEHILL FARM,Freshwater Habitats Trust,AH,2017-05-23 17:00,2017-06-01 00:00,6,No,No,Yes,Yes,NA,2017-06-01 00:00,12,0,Negative,negative,363,Adrianna,SP6925,SP6957925649,0,Negative,FALSE,TRUE,NA,Negative,1,200,1,4,40,3,3,5,3,70,0.829120343,NA,363,N,N,<0.2,0.2-0.5,1,0.1,0.35
FHT959,468957,194130,2017-06-15 00:00,2017-06-15 00:00,MATCH,932 Fino Dank Cottage,Fino Dank Cottage,0.161531279,932,Fino Dank Cottage,Freshwater Habitats Trust,P.N,2017-06-15 18:15,2017-06-23 00:00,6,No,No,Yes,Yes,NA,2017-06-28 00:00,12,0,Negative,negative,932,PN,SU6894,SU6895794130,0,Negative,FALSE,TRUE,NA,Negative,1,4,1,4,0,3,4,2,3,50,0.695627911,NA,932,N,N,<0.2,<0.02,2,0.1,0.01
